,Original Review,Opinion Words,Maximum scored Opinion Words,Final Opnion Words,Average,Reviewer Rating,Calculated rating
0,They look good and stick good! I just do not like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating. I just will not buy a product like this again,"[('popping', 0.0), ('stick', 0.0), ('rounded', 0.0), ('look', 0.0), ('buy', 0.0), ('like', 0.0), ('good', 0.7), ('shape', 0.0), ('product', 0.0)]","[('good', 0.7)]","[('good', 0.7)]",[0.34999999999999998],Positive,Positive
1,These stickers work like the review says they do. They stick on great and they stay on the phone. They are super stylish and I can share them with my sister. :),"[('share', 0.0), ('review', 0.0), ('stick', 0.0), ('like', 0.0), ('work', 0.0), ('great', 0.8), ('stylish', 0.5), ('stay', 0.0)]","[('great', 0.8)]","[('great', 0.8), ('stylish', 0.5)]",[0.43333333333333335],Positive,Positive
2,These are awesome and make my phone look so stylish! I have only used one so far and have had it on for almost a year! CAN YOU BELIEVE THAT! ONE YEAR!! Great quality!,"[('great', 0.8), ('used', 0.0), ('look', 0.0), ('believe', 0.0), ('quality', 0.0), ('almost', 0.0), ('make', 0.0), ('stylish', 0.5), ('awesome', 1.0)]","[('awesome', 1.0)]","[('great', 0.8), ('stylish', 0.5), ('awesome', 1.0)]",[0.57499999999999996],Positive,Positive
3,"Item arrived in great time and was in perfect condition. However, I ordered these buttons because they were a great deal and included a FREE screen protector. I never received one. Though its not a big deal, it would have been nice to get it since they claim it comes with one.","[('condition', 0.0), ('free', 0.4), ('received', 0.0), ('get', 0.0), ('big', 0.0), ('perfect', 1.0), ('ordered', 0.0), ('claim', 0.0), ('nice', 0.6), ('screen', 0.0), ('deal', 0.0), ('great', 0.8)]","[('perfect', 1.0)]","[('nice', 0.6), ('great', 0.8), ('free', 0.4), ('perfect', 1.0)]",[0.55999999999999994],Positive,Positive
4,"awesome! stays on, and looks great. can be used on multiple apple products.  especially having nails, it helps to have an elevated key.","[('elevated', 0.0), ('used', 0.0), ('multiple', 0.0), ('great', 0.8), ('awesome', 1.0)]","[('awesome', 1.0)]","[('great', 0.8), ('awesome', 1.0)]",[0.59999999999999998],Positive,Positive
5,These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.,"[('well', 0.0), ('button', 0.0), ('price', 0.0), ('like', 0.0), ('easy', 0.43333333333333335), ('make', 0.0), ('worth', 0.3), ('purchase', 0.0)]","[('easy', 0.43333333333333335)]","[('easy', 0.43333333333333335), ('worth', 0.3)]",[0.24444444444444446],Negative,Positive
6,Came just as described.. It does not come unstuck and its cute! People ask where I got them from & it is great when driving.,"[('great', 0.8), ('got', 0.0), ('come', 0.0), ('cut', 0.0), ('came', 0.0), ('people', 0.0), ('ask', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
7,it worked for the first week then it only charge my phone to 20%. it is a waste of money.,"[('first', 0.25), ('charge', 0.0), ('waste', -0.2)]","[('first', 0.25)]","[('first', 0.25)]",[0.125],Negative,Negative
8,"Good case, solid build. Protects phone all around with good access to buttons. Battery charges with full battery lasts me a full day. I usually leave my house around 7am and return at 10pm. I am glad that it lasts from start to end. 5/5","[('start', 0.0), ('build', 0.0), ('end', 0.0), ('full', 0.35), ('good', 0.7), ('leave', 0.0), ('return', 0.0), ('solid', 0.0), ('access', 0.0)]","[('good', 0.7)]","[('full', 0.35), ('good', 0.7)]",[0.34999999999999992],Positive,Positive
9,"This is a fantastic case. Very stylish and protects my phone. Easy access to all buttons and features, without any loss of phone reception. But most importantly, it double power, just as promised. Great buy","[('promised', 0.0), ('buy', 0.0), ('double', 0.0), ('stylish', 0.5), ('easy', 0.43333333333333335), ('great', 0.8), ('fantastic', 0.4), ('access', 0.0)]","[('great', 0.8)]","[('easy', 0.43333333333333335), ('great', 0.8), ('stylish', 0.5)]",[0.43333333333333335],Positive,Positive
10,this case fits perfectly on the s4 and keeps me powerd all day I can not complain! a+ recommend it to all,"[('complain', 0.0), ('perfectly', 1.0)]","[('perfectly', 1.0)]","[('perfectly', 1.0)]",[0.5],Positive,Positive
11,"This is the first battery case I have had for my Galaxy S4. The S4 fits veryery well, is slim and does not add much weight to the Galaxy S4. It doubles the battery life. You can charge either the battery, the phone or both. There is a handy on-off switch with leds to indicate the level of charge.The battery case came on time and was packaged well. Well worth the price.","[('first', 0.25), ('well', 0.0), ('level', 0.0), ('price', 0.0), ('galaxy', 0.0), ('much', 0.2), ('switch', 0.0), ('charge', 0.0), ('worth', 0.3), ('weight', 0.0), ('handy', 0.6), ('came', 0.0), ('add', 0.0), ('indicate', 0.0), ('slim', 0.0)]","[('handy', 0.6)]","[('handy', 0.6), ('first', 0.25), ('worth', 0.3)]",[0.28749999999999998],Positive,Positive
12,"Performs exactly as advertised . It is veryery  sturdily built,and provides lots of boost . It does exactly what it is supposed too .Easy to insert phone in and out . Definitely a 5 star experience. Do not know what I would do without this case LOVE LOVE LOVE it.","[('insert', 0.0), ('boost', 0.0), ('love', 0.5), ('experience', 0.0), ('perform', 0.0), ('easy', 0.43333333333333335)]","[('love', 0.5)]","[('easy', 0.43333333333333335), ('love', 0.5)]",[0.31111111111111112],Positive,Positive
13,"Unlike Most of the Rechargeable Battery cases, PowerBear Lasts up to 2 whole days. It does not heat up like most of the other ones, and I was completely fascinated by the ultra light and sleek design for the case. Before I was using the Mophie case but I could not wear it often because it was like having a hot brick in your pocket, Hence I had to always leave it at home.On the contrary, with PowerBear, I never take it off because I can not even tell the difference. Also it is build in a super STRONG manner and even though I dropped my phone a few times, its shock resistant technology will not let a single thing happen to the case or the phone. The PowerBear case became an extension to my phone that I never have to take off because when I charge it at night, it charges both my phone and the case, and I have battery life for more than two days. I was also shocked to hear all the positive compliments I was hearing from people at my job, fitness center, and throughout the community. Everybody was loving the case, and what they do not know is that it cost  me 60 % CHEAPER then all the other brand. This is the best purchase I have made on the internet, and I am going to buy more for my family in time for the Holidays. THANK YOU POWERBEAR!!!!!!!!!!!!!!","[('rechargeable', 0.0), ('night', 0.0), ('overbear', 0.0), ('build', 0.0), ('dropped', 0.0), ('let', 0.0), ('best', 1.0), ('purchase', 0.0), ('tell', 0.0), ('resistant', 0.0), ('happen', 0.0), ('completely', 0.1), ('shock', 0.0), ('buy', 0.0), ('hear', 0.0), ('made', 0.0), ('take', 0.0), ('design', 0.0), ('positive', 0.22727272727272727), ('wear', 0.0), ('manner', 0.0), ('became', 0.0), ('leave', 0.0), ('center', -0.1), ('whole', 0.2), ('single', -0.07142857142857142), ('ultra', 0.0), ('like', 0.0), ('sleek', 0.0), ('charge', 0.0), ('strong', 0.4333333333333333), ('people', 0.0), ('brand', 0.0), ('cost', 0.0), ('light', 0.4), ('going', 0.0)]","[('best', 1.0)]","[('whole', 0.2), ('positive', 0.22727272727272727), ('best', 1.0), ('strong', 0.4333333333333333), ('light', 0.4)]",[0.37676767676767681],Positive,Positive
14,"Just what I needed. I needed a phone case for myself and my two sons, but I also needed new replacement batteries. Now this is not the case, since I got both in one. Awesome thanks A+","[('awesome', 1.0), ('needed', 0.0), ('got', 0.0), ('new', 0.13636363636363635)]","[('awesome', 1.0)]","[('awesome', 1.0), ('new', 0.13636363636363635)]",[0.37878787878787873],Positive,Positive
15,"When there is no outlets, or chargers near by its Powerbear to the rescue! Ordered one for my husband, and myself. Great purchase!!","[('overbear', 0.0), ('ordered', 0.0), ('near', 0.1), ('great', 0.8), ('purchase', 0.0)]","[('great', 0.8)]","[('great', 0.8)]",[0.40000000000000002],Positive,Positive
16,"It works great. Does not heat up like crazy like the other ones I got, and cheaper too! Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife. I wonder why its called power bear..","[('get', 0.0), ('best', 1.0), ('bear', 0.0), ('got', 0.0), ('like', 0.0), ('called', 0.0), ('great', 0.8)]","[('best', 1.0)]","[('best', 1.0), ('great', 0.8)]",[0.59999999999999998],Positive,Positive
